,Company,Location,Global Company Size,Industry,Salaries,Jobs,Rating,Reviews
465,Bosch,30 office locations,10000+ Employees,Consumer Product Manufacturing,217Salaries,7.5TJobs,4.2★,2.1TReviews
466,Bloomberg L.P.,28 office locations,10000+ Employees,Computer Hardware Development,35Salaries,996Jobs,4.1★,6.9TReviews
467,Infineon Technologies,21 office locations,10000+ Employees,Electronics Manufacturing,153Salaries,2TJobs,4.2★,2.9TReviews
468,Colgate-Palmolive,24 office locations,10000+ Employees,Consumer Product Manufacturing,88Salaries,362Jobs,4.3★,3.1TReviews
469,Aegis,3 office locations,5001 to 10000 Employees,Accounting & Tax,272Salaries,25Jobs,3.4★,1.6TReviews
470,Franklin Templeton Investments,21 office locations,5001 to 10000 Employees,Investment & Asset Management,259Salaries,111Jobs,4.0★,1.8TReviews
471,Subway,"Headquarters in Milford, CT",5001 to 10000 Employees,Restaurants & Cafes,49Salaries,19.9TJobs,3.4★,17.1TReviews
472,Sainsbury’s,"Headquarters in London, United Kingdom",10000+ Employees,Grocery Stores,57Salaries,1.1TJobs,3.6★,12.2TReviews
473,Delhivery,7 office locations,10000+ Employees,Taxi & Car Services,716Salaries,52Jobs,3.7★,1.1TReviews
474,ZF Group,32 office locations,10000+ Employees,Transportation Equipment Manufacturing,174Salaries,3.3TJobs,3.9★,3TReviews
475,Citicorp Services India,"Headquarters in Mumbai, India",5001 to 10000 Employees,Accounting & Tax,584Salaries,13.5TJobs,3.8★,1.1TReviews
476,JSW Steel,2 office locations,10000+ Employees,Metal & Mineral Manufacturing,347Salaries,--Jobs,3.5★,1.3TReviews
477,PolicyBazaar,3 office locations,5001 to 10000 Employees,Insurance Agencies & Brokerages,482Salaries,12Jobs,4.0★,1.3TReviews
478,Quess,3 office locations,10000+ Employees,HR Consulting,378Salaries,660Jobs,3.6★,1.3TReviews
479,Hero MotoCorp,13 office locations,10000+ Employees,Transportation Equipment Manufacturing,368Salaries,24Jobs,4.1★,1.3TReviews
480,Bureau Veritas,28 office locations,10000+ Employees,Farm Support Services,123Salaries,2.3TJobs,3.4★,2.9TReviews
481,Urban Company,20 office locations,1001 to 5000 Employees,Internet & Web Services,368Salaries,11Jobs,3.9★,1.1TReviews
482,HSBC Software Development India,"Headquarters in Pune, India",51 to 200 Employees,N/A,885Salaries,--Jobs,4.0★,1.3TReviews
483,Kyndryl,9 office locations,10000+ Employees,Information Technology Support Services,221Salaries,996Jobs,3.9★,1.5TReviews
484,Comviva,4 office locations,1001 to 5000 Employees,Information Technology Support Services,621Salaries,498Jobs,3.7★,1.2TReviews
485,Serco Group,32 office locations,10000+ Employees,HR Consulting,123Salaries,1.8TJobs,3.3★,2.8TReviews
486,Accenture Solutions,"Headquarters in Gurgaon, India",10000+ Employees,N/A,421Salaries,--Jobs,4.2★,1.3TReviews
487,ICON,27 office locations,10000+ Employees,Biotech & Pharmaceuticals,45Salaries,1.5TJobs,3.8★,3.1TReviews
488,Faurecia,39 office locations,10000+ Employees,Transportation Equipment Manufacturing,64Salaries,948Jobs,3.7★,3TReviews
489,Lenovo,23 office locations,10000+ Employees,Computer Hardware Development,119Salaries,932Jobs,4.0★,3.4TReviews
490,Kelly,40 office locations,5001 to 10000 Employees,HR Consulting,56Salaries,8.1TJobs,3.5★,7TReviews
491,WSP,29 office locations,10000+ Employees,Architectural & Engineering Services,64Salaries,2.8TJobs,3.7★,4TReviews
492,Baxter,77 office locations,10000+ Employees,Biotech & Pharmaceuticals,73Salaries,1.2TJobs,3.8★,3.7TReviews
493,Patni Computer Systems,6 office locations,5001 to 10000 Employees,Information Technology Support Services,166Salaries,--Jobs,4.3★,463Reviews
494,thyssenkrupp,28 office locations,10000+ Employees,Machinery Manufacturing,98Salaries,2.3TJobs,3.8★,3TReviews
495,SS&C,18 office locations,10000+ Employees,Information Technology Support Services,303Salaries,833Jobs,3.2★,2.1TReviews
496,RealPage,8 office locations,5001 to 10000 Employees,Enterprise Software & Network Solutions,84Salaries,247Jobs,3.9★,1.8TReviews
497,Sonata Software,5 office locations,1001 to 5000 Employees,Information Technology Support Services,445Salaries,6Jobs,3.9★,1.3TReviews
498,Samsung R&D Institute India - Noida,"Headquarters in Noida, India",1001 to 5000 Employees,Computer Hardware Development,745Salaries,1Jobs,3.2★,1.1TReviews
499,Advisory Board,655 New York Avenue ,1001 to 5000 Employees,Healthcare Services & Hospitals,259Salaries,2Jobs,4.0★,1.7TReviews
500,Pitney Bowes,25 office locations,10000+ Employees,Shipping & Trucking,131Salaries,285Jobs,3.6★,2.4TReviews
501,Datamatics Global Services,9 office locations,5001 to 10000 Employees,Information Technology Support Services,490Salaries,313Jobs,3.4★,1.3TReviews
502,Iris Software,14 office locations,1001 to 5000 Employees,Information Technology Support Services,192Salaries,591Jobs,4.3★,1.3TReviews
503,HDFC Standard Life Insurance,26 office locations,10000+ Employees,Insurance Carriers,431Salaries,109Jobs,3.8★,1.2TReviews
504,Expleo Group,87 office locations,10000+ Employees,Business Consulting,117Salaries,1.8TJobs,3.5★,1.7TReviews
505,Marsh McLennan,25 office locations,10000+ Employees,Insurance Agencies & Brokerages,178Salaries,915Jobs,4.0★,2.5TReviews
506,SYKES,9 office locations,10000+ Employees,HR Consulting,83Salaries,507Jobs,3.3★,6.9TReviews
507,Amazon Flex,11 office locations,5001 to 10000 Employees,Shipping & Trucking,144Salaries,2.3TJobs,3.6★,4.5TReviews
508,National Instruments,19 office locations,5001 to 10000 Employees,Electronics Manufacturing,132Salaries,221Jobs,3.9★,2.3TReviews
509,Goodwill,25 office locations,1001 to 5000 Employees,"Civic, Welfare & Social Services",87Salaries,8.7TJobs,3.3★,7.2TReviews
510,First American Financial Corporation,31 office locations,10000+ Employees,Insurance Carriers,184Salaries,189Jobs,3.8★,1.7TReviews
511,BD,73 office locations,10000+ Employees,Health Care Products Manufacturing,52Salaries,2.8TJobs,3.9★,4.3TReviews
512,Diebold Nixdorf,28 office locations,10000+ Employees,Information Technology Support Services,167Salaries,377Jobs,3.5★,2.5TReviews
513,Fedex Express,35 office locations,10000+ Employees,Shipping & Trucking,59Salaries,3.2TJobs,3.6★,6.1TReviews
514,Microland,16 office locations,1001 to 5000 Employees,Information Technology Support Services,200Salaries,4.1TJobs,3.8★,1.1TReviews
515,Synchrony,23 office locations,10000+ Employees,Banking & Lending,196Salaries,384Jobs,4.3★,1.8TReviews
516,EdgeVerve Systems,4 office locations,5001 to 10000 Employees,Enterprise Software & Network Solutions,222Salaries,3.2TJobs,3.7★,1.2TReviews
517,Moody's Analytics,37 office locations,5001 to 10000 Employees,Research & Development,209Salaries,6Jobs,3.9★,1.5TReviews
518,Ipsos,26 office locations,10000+ Employees,Business Consulting,102Salaries,580Jobs,3.7★,4.2TReviews
519,CompuCom,25 office locations,10000+ Employees,Information Technology Support Services,63Salaries,129Jobs,3.9★,3TReviews
520,Atlassian,13 office locations,5001 to 10000 Employees,Software Development,132Salaries,598Jobs,4.7★,1.8TReviews
521,Bharat Heavy Electricals,"Headquarters in New Delhi, India",10000+ Employees,Electronics Manufacturing,446Salaries,--Jobs,4.2★,1.3TReviews
522,HCL Infosystems,"Singapore, ",5001 to 10000 Employees,Computer Hardware Development,363Salaries,561Jobs,3.8★,1.4TReviews
523,Spectrum,96 office locations,10000+ Employees,Telecommunications Services,29Salaries,4.3TJobs,3.3★,12.5TReviews
524,Incedo,8 office locations,1001 to 5000 Employees,Information Technology Support Services,460Salaries,909Jobs,4.0★,1.2TReviews
525,Citco,21 office locations,5001 to 10000 Employees,Investment & Asset Management,90Salaries,587Jobs,3.5★,2.3TReviews
526,Analog Devices,22 office locations,10000+ Employees,Electronics Manufacturing,131Salaries,1.6TJobs,4.1★,2TReviews
527,BASF,25 office locations,10000+ Employees,Chemical Manufacturing,52Salaries,1.7TJobs,4.1★,5.7TReviews
528,IBS Software,11 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,580Salaries,61Jobs,3.9★,1.1TReviews
529,NICE,25 office locations,5001 to 10000 Employees,Enterprise Software & Network Solutions,156Salaries,22Jobs,4.2★,1.6TReviews
530,MSCI,14 office locations,1001 to 5000 Employees,Research & Development,399Salaries,98Jobs,4.2★,1.5TReviews
531,Ocwen Financial,8 office locations,1001 to 5000 Employees,Financial Transaction Processing,356Salaries,22Jobs,3.6★,1.4TReviews
532,Experian,25 office locations,10000+ Employees,Research & Development,99Salaries,579Jobs,4.1★,5.1TReviews
533,SAS,31 office locations,10000+ Employees,Computer Hardware Development,120Salaries,333Jobs,4.1★,2.8TReviews
534,Telstra,35 office locations,10000+ Employees,Telecommunications Services,118Salaries,234Jobs,3.9★,3.8TReviews
535,Hexagon,22 office locations,1001 to 5000 Employees,Computer Hardware Development,245Salaries,397Jobs,3.9★,1.5TReviews
536,FICO,21 office locations,1001 to 5000 Employees,Computer Hardware Development,207Salaries,182Jobs,4.0★,1.4TReviews
537,Government of India,"Headquarters in Bangalore, India",5001 to 10000 Employees,National Services & Agencies,303Salaries,--Jobs,4.3★,1.1TReviews
538,GlobalData,4 office locations,1001 to 5000 Employees,Research & Development,303Salaries,27Jobs,3.5★,1.5TReviews
539,HDB Financial Services,4 office locations,1 to 50 Employees,N/A,376Salaries,307Jobs,3.6★,1.1TReviews
540,United Airlines,24 office locations,10000+ Employees,"Airlines, Airports & Air Transportation",64Salaries,775Jobs,4.1★,5.6TReviews
541,Agilent Technologies,34 office locations,10000+ Employees,Biotech & Pharmaceuticals,77Salaries,538Jobs,4.2★,2.3TReviews
542,Freelance,"Bangalore, KA",1 to 50 Employees,N/A,116Salaries,2Jobs,4.3★,1.9TReviews
543,Bharat Electronics,"Headquarters in Bangalore, India",10000+ Employees,Electronics Manufacturing,317Salaries,--Jobs,3.9★,1.2TReviews
544,Motorola Solutions,22 office locations,10000+ Employees,Telecommunications Services,119Salaries,902Jobs,3.9★,3.6TReviews
545,Western Union,33 office locations,10000+ Employees,Financial Transaction Processing,129Salaries,526Jobs,3.9★,2.3TReviews
546,Toppr.com,16 office locations,1001 to 5000 Employees,Primary & Secondary Schools,268Salaries,2Jobs,3.7★,1.1TReviews
547,Fluor,33 office locations,10000+ Employees,Construction,27Salaries,2.3TJobs,4.0★,2.9TReviews
548,PK,21 office locations,1001 to 5000 Employees,Information Technology Support Services,231Salaries,2Jobs,4.0★,952Reviews
549,Ecolab,35 office locations,10000+ Employees,Chemical Manufacturing,34Salaries,886Jobs,3.6★,4.4TReviews
550,NielsenIQ,"Headquarters in Chicago, IL",10000+ Employees,Information Technology Support Services,191Salaries,645Jobs,3.9★,1.7TReviews
551,Bitwise,2 office locations,1001 to 5000 Employees,Information Technology Support Services,240Salaries,7Jobs,4.4★,874Reviews
552,US Navy,25 office locations,1001 to 5000 Employees,National Services & Agencies,39Salaries,101Jobs,3.7★,25.5TReviews
553,Fresherworld.com,"Headquarters in Bangalore, India",201 to 500 Employees,Film Production,540Salaries,--Jobs,4.1★,602Reviews
554,Times Internet,8 office locations,1001 to 5000 Employees,Internet & Web Services,395Salaries,11Jobs,4.2★,1.1TReviews
555,Ashok Leyland,"Headquarters in Chennai, India",10000+ Employees,Transportation Equipment Manufacturing,308Salaries,--Jobs,4.1★,1.2TReviews
556,Keysight Technologies,25 office locations,10000+ Employees,Electronics Manufacturing,103Salaries,732Jobs,4.2★,1.6TReviews
557,eTeam,25 office locations,5001 to 10000 Employees,"Staffing, Recruitment & Subcontracting",62Salaries,3.7TJobs,4.4★,2TReviews
558,ByteDance,47 office locations,10000+ Employees,Internet & Web Services,70Salaries,12.2TJobs,4.1★,2.3TReviews
559,Futures First,"Headquarters in Gurgaon, India",201 to 500 Employees,Research & Development,155Salaries,4Jobs,4.3★,701Reviews
560,HSBC Electronic Data Processing India,"Headquarters in Bangalore, India",201 to 500 Employees,N/A,671Salaries,--Jobs,4.0★,1TReviews
561,Merck,126 East Lincoln Avenue ,10000+ Employees,Biotech & Pharmaceuticals,45Salaries,1.3TJobs,4.1★,5.9TReviews
562,Swiss Re,24 office locations,10000+ Employees,Insurance Agencies & Brokerages,104Salaries,445Jobs,4.2★,1.9TReviews
563,Optum Global Solutions,"Headquarters in Hyderābād, India",1 to 50 Employees,N/A,501Salaries,--Jobs,4.0★,1.2TReviews
564,Simplilearn Solutions,2 office locations,1001 to 5000 Employees,Education Support & Training Services,144Salaries,13Jobs,3.9★,1.3TReviews
565,NeoSOFT,14 office locations,1001 to 5000 Employees,Information Technology Support Services,510Salaries,1Jobs,4.1★,989Reviews
566,"Merck KGaA, Darmstadt, Germany",24 office locations,10000+ Employees,Biotech & Pharmaceuticals,155Salaries,917Jobs,4.1★,2.2TReviews
567,Honda,20 office locations,10000+ Employees,Transportation Equipment Manufacturing,115Salaries,1.8TJobs,3.9★,3.3TReviews
568,TransUnion,25 office locations,10000+ Employees,Research & Development,144Salaries,609Jobs,4.0★,1.7TReviews
569,Worley,29 office locations,10000+ Employees,Energy & Utilities,48Salaries,3.1TJobs,3.6★,2.8TReviews
570,Nucleus Software Exports,3 office locations,1001 to 5000 Employees,Computer Hardware Development,628Salaries,29Jobs,3.7★,1.2TReviews
571,R Systems,24 office locations,1001 to 5000 Employees,Information Technology Support Services,314Salaries,91Jobs,4.0★,1TReviews
572,Microchip Technology,25 office locations,10000+ Employees,Electronics Manufacturing,117Salaries,1.2TJobs,4.0★,1.7TReviews
573,Indegene,9 office locations,1001 to 5000 Employees,Healthcare Services & Hospitals,275Salaries,--Jobs,3.8★,910Reviews
574,Michelin,28 office locations,10000+ Employees,Machinery Manufacturing,104Salaries,586Jobs,4.0★,2.6TReviews
575,Vodafone Idea,8 office locations,10000+ Employees,N/A,460Salaries,3Jobs,3.8★,1.2TReviews
576,Axtria,14 office locations,501 to 1000 Employees,Business Consulting,657Salaries,10Jobs,3.7★,912Reviews
577,udaan.com,"1090 G, 18th Cross, 14th Main, Sector 3, HSR Layout, Bengaluru, Karnataka 560102 ",1001 to 5000 Employees,Internet & Web Services,381Salaries,2Jobs,3.8★,955Reviews
578,Motorola Mobility,11 office locations,1001 to 5000 Employees,Electronics Manufacturing,166Salaries,932Jobs,4.1★,2.7TReviews
579,Toshiba,2 office locations,1001 to 5000 Employees,Machinery Manufacturing,295Salaries,581Jobs,3.6★,1.8TReviews
580,Square Yards,2 office locations,1001 to 5000 Employees,Real Estate,235Salaries,15Jobs,3.1★,1.4TReviews
581,Omega Healthcare,11 office locations,10000+ Employees,Healthcare Services & Hospitals,129Salaries,41Jobs,3.8★,1TReviews
582,Pizza Hut,"Headquarters in Plano, TX",10000+ Employees,Restaurants & Cafes,40Salaries,35.4TJobs,3.4★,11.1TReviews
583,Majorel,4 office locations,10000+ Employees,HR Consulting,85Salaries,2.1TJobs,3.6★,2.5TReviews
584,Impetus Technologies,8 office locations,1001 to 5000 Employees,Computer Hardware Development,286Salaries,164Jobs,4.3★,986Reviews
585,Commonwealth Bank of Australia,12 office locations,10000+ Employees,Banking & Lending,46Salaries,400Jobs,4.1★,5TReviews
586,Marvell Technology,27 office locations,5001 to 10000 Employees,Computer Hardware Development,89Salaries,450Jobs,4.3★,1.7TReviews
587,Best Buy,6 office locations,10000+ Employees,Consumer Electronics & Appliances Stores,11Salaries,3.9TJobs,3.7★,33.3TReviews
588,Jaro Education,12 office locations,501 to 1000 Employees,Education Support & Training Services,193Salaries,3Jobs,4.2★,1.1TReviews
589,Hitachi,20 office locations,10000+ Employees,Enterprise Software & Network Solutions,114Salaries,5.9TJobs,3.8★,2TReviews
590,Technicolor,25 office locations,10000+ Employees,Film Production,82Salaries,218Jobs,3.9★,1.5TReviews
591,Chetu,14 office locations,1001 to 5000 Employees,Computer Hardware Development,402Salaries,24Jobs,3.6★,1.2TReviews
592,Genesys,53 office locations,5001 to 10000 Employees,Enterprise Software & Network Solutions,158Salaries,95Jobs,4.2★,2.2TReviews
593,GE Aerospace,33 office locations,1001 to 5000 Employees,Aerospace & Defence,48Salaries,1.4TJobs,3.8★,3.4TReviews
594,CTS,"Headquarters in Eysines, France",51 to 200 Employees,Information Technology Support Services,560Salaries,3Jobs,3.8★,1.1TReviews
595,Luxoft,22 office locations,10000+ Employees,Information Technology Support Services,143Salaries,1.6TJobs,4.3★,2.9TReviews
596,Mazars,28 office locations,10000+ Employees,Accounting & Tax,99Salaries,2.1TJobs,3.8★,3.4TReviews
597,Symphony Teleca,3 office locations,1001 to 5000 Employees,Information Technology Support Services,233Salaries,1.3TJobs,4.1★,1.1TReviews
598,Whole Foods Market,"Headquarters in Austin, TX",10000+ Employees,Grocery Stores,46Salaries,4.1TJobs,3.5★,16.3TReviews
599,Volkswagen,26 office locations,10000+ Employees,Transportation Equipment Manufacturing,94Salaries,345Jobs,4.1★,3.7TReviews
600,Yodlee,2 office locations,1001 to 5000 Employees,Computer Hardware Development,450Salaries,--Jobs,3.6★,886Reviews
601,Gap,11 office locations,10000+ Employees,"Department, Clothing & Shoe Stores",37Salaries,32Jobs,3.7★,8.5TReviews
602,Cipla,"Headquarters in Mumbai, India",10000+ Employees,Biotech & Pharmaceuticals,231Salaries,82Jobs,3.9★,1.2TReviews
603,Enterprise,"Headquarters in Saint Louis, MO",10000+ Employees,Car & Truck Rental,20Salaries,1.3TJobs,3.5★,21.9TReviews
604,YMCA,29 office locations,1001 to 5000 Employees,"Civic, Welfare & Social Services",34Salaries,16.3TJobs,3.9★,17.4TReviews
605,Bharat Petroleum,"Headquarters in Mumbai, India",10000+ Employees,Energy & Utilities,417Salaries,--Jobs,3.7★,986Reviews
606,Bajaj Auto,"Old Mumbai-Pune Highway, Akurdi ",10000+ Employees,Transportation Equipment Manufacturing,361Salaries,--Jobs,3.6★,861Reviews
607,Indeed,18 office locations,10000+ Employees,Internet & Web Services,86Salaries,1.2TJobs,4.5★,3TReviews
608,XPO Logistics,25 office locations,10000+ Employees,Shipping & Trucking,48Salaries,3.1TJobs,3.6★,5.4TReviews
609,TO THE NEW,4 office locations,1001 to 5000 Employees,Information Technology Support Services,370Salaries,--Jobs,4.2★,877Reviews
610,Ugam,"Headquarters in Mumbai, India",1001 to 5000 Employees,Information Technology Support Services,499Salaries,157Jobs,3.9★,880Reviews
611,Mercedes-Benz Group,26 office locations,10000+ Employees,Transportation Equipment Manufacturing,86Salaries,3TJobs,4.2★,4.1TReviews
612,Walgreens,2370 East Main Street ,10000+ Employees,Drug & Health Stores,21Salaries,25.9TJobs,3.1★,28.6TReviews
613,Orange Business Services,45 office locations,10000+ Employees,Enterprise Software & Network Solutions,169Salaries,2.1TJobs,4.0★,1.8TReviews
614,Aptiv,25 office locations,10000+ Employees,Electronics Manufacturing,145Salaries,748Jobs,3.8★,1.7TReviews
615,Kearney,6 office locations,1001 to 5000 Employees,Business Consulting,119Salaries,1Jobs,4.3★,1.8TReviews
616,Safran,30 office locations,10000+ Employees,Aerospace & Defence,72Salaries,3.2TJobs,3.8★,3.8TReviews
617,test,N/A,1 to 50 Employees,N/A,287Salaries,--Jobs,3.9★,876Reviews
618,ICICI Securities,"Headquarters in Mumbai, India",1001 to 5000 Employees,Investment & Asset Management,179Salaries,11Jobs,3.4★,1TReviews
619,CARS24.com,2 office locations,1001 to 5000 Employees,Internet & Web Services,289Salaries,17Jobs,3.8★,959Reviews
620,Merkle,26 office locations,1001 to 5000 Employees,Advertising & Public Relations,115Salaries,1.2TJobs,3.8★,1.7TReviews
621,D. E. Shaw India,"Headquarters in Hyderābād, India",501 to 1000 Employees,Investment & Asset Management,314Salaries,--Jobs,4.2★,623Reviews
622,Shadowfax Technologies,"Bangalore, KA",51 to 200 Employees,N/A,278Salaries,--Jobs,4.4★,1.2TReviews
623,Zara,"Headquarters in Arteixo, Spain",10000+ Employees,"Department, Clothing & Shoe Stores",44Salaries,289Jobs,3.4★,9TReviews
624,Reliance Retail,"Headquarters in Mumbai, India",10000+ Employees,Other Retail Shops,430Salaries,15Jobs,3.7★,926Reviews
625,Perficient,21 office locations,5001 to 10000 Employees,Information Technology Support Services,42Salaries,205Jobs,4.1★,1.7TReviews
626,Software AG,58 office locations,501 to 1000 Employees,Software Development,220Salaries,184Jobs,4.3★,1.1TReviews
627,ASDA,"Leeds, ENG",10000+ Employees,General Merchandise & Superstores,74Salaries,1.8TJobs,3.4★,8.3TReviews
628,GroupM,19 office locations,10000+ Employees,Publishing,100Salaries,604Jobs,3.9★,1.8TReviews
629,Experis,25 office locations,5001 to 10000 Employees,HR Consulting,57Salaries,4.1TJobs,3.6★,2.5TReviews
630,WeWork,86 office locations,1001 to 5000 Employees,Real Estate,54Salaries,135Jobs,3.7★,2.9TReviews
631,Zscaler,20 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,154Salaries,753Jobs,4.5★,1.6TReviews
632,Planet Spark,2 office locations,201 to 500 Employees,Primary & Secondary Schools,113Salaries,11Jobs,3.3★,673Reviews
633,Alorica,202 office locations,10000+ Employees,HR Consulting,27Salaries,347Jobs,3.1★,8.3TReviews
634,Edelman,25 office locations,5001 to 10000 Employees,Advertising & Public Relations,77Salaries,441Jobs,3.8★,3.3TReviews
635,Colt Technology Services,19 office locations,5001 to 10000 Employees,Telecommunications Services,180Salaries,146Jobs,4.3★,1.3TReviews
636,IndiGo,"Headquarters in Gurgaon, India",10000+ Employees,"Airlines, Airports & Air Transportation",143Salaries,--Jobs,3.7★,922Reviews
637,AXA XL,17 office locations,5001 to 10000 Employees,Insurance Carriers,310Salaries,247Jobs,3.9★,1.3TReviews
638,Toyota Motor Corporation,8 office locations,10000+ Employees,Transportation Equipment Manufacturing,69Salaries,2.1TJobs,4.0★,2.5TReviews
639,Atlas Copco,22 office locations,10000+ Employees,Machinery Manufacturing,94Salaries,984Jobs,4.1★,1.7TReviews
640,GEICO,25 office locations,10000+ Employees,Insurance Carriers,48Salaries,241Jobs,3.3★,8.7TReviews
641,Mars,24 office locations,10000+ Employees,Food & Beverage Manufacturing,27Salaries,1.7TJobs,4.3★,4.5TReviews
642,Oil and Natural Gas,"Headquarters in New Delhi, India",10000+ Employees,Energy & Utilities,127Salaries,--Jobs,4.4★,1.1TReviews
643,Santander,42 office locations,10000+ Employees,Banking & Lending,36Salaries,2.6TJobs,3.9★,15.6TReviews
644,Subex,"Bangalore, KA",501 to 1000 Employees,Enterprise Software & Network Solutions,379Salaries,--Jobs,3.5★,894Reviews
645,Seagate Technology,13 office locations,10000+ Employees,Computer Hardware Development,63Salaries,202Jobs,3.8★,2.5TReviews
646,iNautix Technologies,"Chennai, TN",1001 to 5000 Employees,Information Technology Support Services,125Salaries,--Jobs,3.9★,966Reviews
647,Trane Technologies,25 office locations,10000+ Employees,Machinery Manufacturing,79Salaries,1.5TJobs,4.3★,2.2TReviews
648,ValueMomentum,2 office locations,1001 to 5000 Employees,Information Technology Support Services,293Salaries,59Jobs,3.9★,665Reviews
649,CapitalVia,3 office locations,201 to 500 Employees,Research & Development,204Salaries,3Jobs,3.4★,1.1TReviews
650,Zynga,8 office locations,1001 to 5000 Employees,Video Game Publishing,159Salaries,139Jobs,4.5★,1.2TReviews
651,Scientific Games,13 office locations,5001 to 10000 Employees,Computer Hardware Development,240Salaries,41Jobs,3.7★,1.2TReviews
652,Mott MacDonald,24 office locations,10000+ Employees,Architectural & Engineering Services,83Salaries,1.3TJobs,4.1★,2TReviews
653,dunnhumby,12 office locations,1001 to 5000 Employees,Business Consulting,130Salaries,58Jobs,4.3★,1.3TReviews
654,DICK'S Sporting Goods,7 office locations,10000+ Employees,Sporting Goods Stores,35Salaries,2.7TJobs,3.8★,8.9TReviews
655,Freshers.com,N/A,1 to 50 Employees,N/A,536Salaries,--Jobs,4.0★,332Reviews
656,Cypress Semiconductor,16 office locations,5001 to 10000 Employees,Computer Hardware Development,33Salaries,--Jobs,3.7★,764Reviews
657,Refinitiv,10 office locations,10000+ Employees,Computer Hardware Development,136Salaries,566Jobs,3.8★,1.7TReviews
658,HashedIn by Deloitte,"Headquarters in Bangalore, India",1001 to 5000 Employees,Information Technology Support Services,406Salaries,2Jobs,4.3★,636Reviews
659,Edelweiss Financial Services,"Indore, MP",5001 to 10000 Employees,Investment & Asset Management,393Salaries,--Jobs,3.9★,964Reviews
660,Compunnel,21 office locations,1001 to 5000 Employees,Information Technology Support Services,78Salaries,296Jobs,4.3★,532Reviews
661,Lam Research,10 office locations,10000+ Employees,Electronics Manufacturing,93Salaries,520Jobs,4.5★,1.7TReviews
662,GE Power,33 office locations,10000+ Employees,Energy & Utilities,75Salaries,1.5TJobs,3.8★,1.9TReviews
663,Arcadis,25 office locations,10000+ Employees,Construction,65Salaries,2.3TJobs,4.0★,3.2TReviews
664,MetricStream,4 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,110Salaries,10Jobs,3.4★,806Reviews
665,Team Computers,6 office locations,1001 to 5000 Employees,Information Technology Support Services,139Salaries,40Jobs,4.0★,989Reviews
666,Hilti Group,24 office locations,10000+ Employees,Construction,51Salaries,368Jobs,4.1★,2.2TReviews
667,DISYS,43 office locations,1001 to 5000 Employees,Information Technology Support Services,59Salaries,332Jobs,4.0★,1.3TReviews
668,Practo Technologies,9 office locations,501 to 1000 Employees,Internet & Web Services,309Salaries,81Jobs,3.8★,935Reviews
669,Syneos Health ,16 office locations,10000+ Employees,Biotech & Pharmaceuticals,39Salaries,2.6TJobs,3.7★,2.3TReviews
670,DHL Express,27 office locations,10000+ Employees,Shipping & Trucking,63Salaries,54Jobs,4.0★,3.7TReviews
671,Visteon,9 office locations,10000+ Employees,Transportation Equipment Manufacturing,206Salaries,606Jobs,3.5★,1.3TReviews
672,Bristlecone,9 office locations,1001 to 5000 Employees,Information Technology Support Services,440Salaries,189Jobs,3.8★,909Reviews
673,Webhelp,13 office locations,10000+ Employees,HR Consulting,68Salaries,2TJobs,3.3★,3.4TReviews
674,Tesla,16 office locations,10000+ Employees,Transportation Equipment Manufacturing,32Salaries,7.6TJobs,3.6★,7.7TReviews
675,Syngenta,28 office locations,10000+ Employees,Crop Production,63Salaries,1TJobs,4.2★,2.5TReviews
676,Invesco,15 office locations,Unknown,Investment & Asset Management,127Salaries,533Jobs,3.9★,1.5TReviews
677,Embibe,"Diamond District,  No. 150, 1st Floor, Tower B, HAL Old Airport Rd, Kodihalli,  Bengaluru, Karnataka 560008 ",501 to 1000 Employees,Education Support & Training Services,155Salaries,--Jobs,4.3★,1.1TReviews
678,XYZ,"Headquarters in Los Angeles, CA",1 to 50 Employees,N/A,546Salaries,--Jobs,3.8★,737Reviews
679,Dow,43 office locations,10000+ Employees,Chemical Manufacturing,29Salaries,226Jobs,4.1★,3.7TReviews
680,Startek,23 office locations,10000+ Employees,HR Consulting,160Salaries,86Jobs,3.2★,1.8TReviews
681,TELUS International,2 office locations,10000+ Employees,Enterprise Software & Network Solutions,58Salaries,1.8TJobs,3.8★,2.4TReviews
682,RSM,25 office locations,10000+ Employees,Accounting & Tax,43Salaries,4.1TJobs,3.9★,5.1TReviews
683,Wipro Digital,"Headquarters in Brooklyn, NY",5001 to 10000 Employees,Information Technology Support Services,493Salaries,6Jobs,3.8★,934Reviews
684,Renault Group,54 office locations,10000+ Employees,Machinery Manufacturing,55Salaries,1.3TJobs,3.8★,4.4TReviews
685,Vestas Wind Systems,25 office locations,10000+ Employees,Electronics Manufacturing,121Salaries,1.1TJobs,3.8★,1.7TReviews
686,Collegedunia,5 office locations,201 to 500 Employees,Internet & Web Services,247Salaries,4Jobs,3.8★,1TReviews
687,T-Mobile,25 office locations,10000+ Employees,Telecommunications Services,27Salaries,5.6TJobs,3.8★,17.4TReviews
688,Ivy,"Divyasree Omega, 5th Floor, B- Block, Hitech City Road, Kondapur ",1001 to 5000 Employees,Information Technology Support Services,387Salaries,205Jobs,4.1★,719Reviews
689,Ciber,25 office locations,1001 to 5000 Employees,Information Technology Support Services,169Salaries,--Jobs,3.7★,1.3TReviews
